Brand,Coe_left,Mileage,Road Tax,COE,Engine Cap,Curb Weight,Manufactured,OMV,Power,No. of Owners,Price,Type_Hatchback,Type_Luxury Sedan,Type_MPV,Type_Mid-Sized Sedan,Type_SUV,Type_Sports Car,Type_Stationwagon,Transmission_Auto,Transmission_Manual
Mercedes-Benz,8.62,34000,1202,38000,1991,1615,2018,54498,135,1,194800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,7.94,32000,740,48000,1595,1490,2018,35914,115,1,146800,0,1,0,0,0,0,0,1,0
Toyota,4.39,82877,742,56001,1598,1205,2015,19589,90,2,55800,0,0,0,1,0,0,0,1,0
Mazda,3.28,163000,890,14743,1598,1275,2009,20080,77,5,24700,0,0,0,1,0,0,0,1,0
Opel,6.77,20000,508,38830,1199,1203,2018,21304,81,2,66800,0,0,0,0,1,0,0,1,0
Audi,4.4,37000,624,60000,1395,1480,2015,29898,110,2,85800,0,0,0,0,1,0,0,1,0
Honda,4.58,62000,682,56989,1496,1190,2015,19068,96,1,51800,0,0,0,0,1,0,0,1,0
Volkswagen,5.44,66000,508,52668,1197,1229,2016,18188,81,1,57800,1,0,0,0,0,0,0,1,0
Ford,4.86,63000,742,46009,1596,1408,2015,14795,92,3,47888,1,0,0,0,0,0,0,1,0
Ford,4.56,26000,242,37301,1596,1408,2015,14350,92,1,40000,1,0,0,0,0,0,0,1,0
Honda,4.47,107545,684,56001,1498,1046,2015,15479,96,2,48800,1,0,0,0,0,0,0,1,0
Hyundai,6.61,78000,738,38200,1591,1345,2017,11796,93,1,63800,0,0,0,1,0,0,0,1,0
BMW,4.99,68850,684,49700,1499,1430,2016,29368,100,1,85100,0,0,0,0,1,0,0,1,0
BMW,3.9,40000,2362,72100,2979,1635,2014,92240,317,3,200888,0,0,0,0,0,1,0,1,0
Toyota,5.02,53217,742,53694,1598,1205,2016,16800,90,1,58800,0,0,0,1,0,0,0,1,0
Nissan,9.8,62000,4000,47701,3799,1740,2008,28509,353,2,252888,0,0,0,0,0,1,0,1,0
Hyundai,4.75,55128,738,51000,1591,1292,2015,15245,97,2,52800,0,0,0,1,0,0,0,1,0
BMW,6.72,24000,684,39000,1499,1425,2017,33755,100,1,113800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,3.95,49150,1202,77600,1991,1680,2014,46713,155,2,93200,0,1,0,0,0,0,0,1,0
Porsche,8.62,16000,2380,37109,2995,1815,2019,108593,243,1,408800,0,0,0,0,0,1,0,1,0
BMW,5.63,110000,1812,52660,1995,1395,2006,42106,110,2,41500,0,1,0,0,0,0,0,1,0
